Customer_Id,Birth_Year,Education_Quallification,Marital_Status, Income ,No_of_Kids,No_of_Teens,Date_Of_Response,Recency(days),Amount_spent_on_Wines,Amount_spent_on_Fruits,Amount_spent_on_Meat_Products,Amount_spent_on_Fish_Products,Amount_spent_on_Sweet_Products,Amount_spent_on_Gold_Products,Purchases_with_Discount,Online_Purchases,Catalog_Purchases,Store_Purchases,Monthly_Web_Visits,Accepted_Cmp3,Accepted_Cmp4,Accepted_Cmp5,Accepted_Cmp1,Accepted_Cmp2,Response,Complain,Country
10521,1977,Graduation,Married,"$54,809 ",1,1,9/11/2013,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,Spain
10175,1958,PhD,Divorced,"$32,173 ",0,1,8/1/2013,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,Spain
1473,1960,postgraduate,Single,"$47,823 ",0,1,23/07/2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,Canada
2795,1958,postgraduate,Single,"$30,523 ",2,1,7/1/2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,Canada
2285,1954,postgraduate,relationship,"$36,634 ",0,1,28/05/2013,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,Saudi Arabia
115,1966,postgraduate,Single,"$43,456 ",0,1,26/03/2013,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,India
10470,1979,postgraduate,Married,"$40,662 ",1,0,15/03/2013,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,Germany
4065,1976,PhD,Married,"$49,544 ",1,0,2/12/2013,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,Spain
10968,1969,Graduation,Single,"$57,731 ",0,1,23/11/2012,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,India
5985,1965,postgraduate,Single,"$33,168 ",0,1,13/10/2012,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,Spain
5430,1956,Graduation,relationship,"$54,450 ",1,1,14/09/2012,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,Spain
8432,1956,Graduation,relationship,"$54,450 ",1,1,14/09/2012,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,Spain
453,1956,PhD,Widow,"$35,340 ",1,1,29/06/2014,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,Spain
9687,1975,Graduation,Single,"$73,170 ",0,0,31/05/2014,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,Canada
8890,1971,PhD,Divorced,"$65,808 ",1,1,30/05/2014,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,Spain
9264,1986,Graduation,Married,"$79,529 ",0,0,27/04/2014,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,Canada
5824,1972,PhD,relationship,"$34,578 ",2,1,4/11/2014,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,Australia
5794,1974,PhD,Married,"$46,374 ",0,1,17/03/2014,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,India
3068,1990,Graduation,Married,"$18,351 ",0,0,29/10/2013,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,Spain
7962,1987,PhD,Single,"$95,169 ",0,0,10/9/2013,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,Spain
2681,1984,postgraduate,Married,"$65,370 ",0,0,8/1/2013,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,Spain
10141,1960,postgraduate,Divorced,"$39,228 ",0,0,5/10/2013,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,Saudi Arabia
3725,1961,PhD,Single,"$84,865 ",0,0,5/9/2013,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,Spain
3767,1968,Graduation,Married,"$61,314 ",0,1,25/04/2013,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,Spain
5585,1972,Graduation,Single,"$21,359 ",1,0,20/04/2013,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,Canada
7030,1955,PhD,Married,"$66,465 ",0,1,30/03/2013,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,Spain
1524,1983,postgraduate,Single,"$81,698 ",0,0,3/1/2013,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,Spain
3657,1986,Graduation,Single,"$39,146 ",1,0,14/02/2013,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,Spain
5740,1970,postgraduate,Divorced,"$25,959 ",1,1,14/02/2013,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,Spain
9595,1961,Graduation,relationship,"$64,260 ",0,0,1/11/2013,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,Spain
3158,1973,Graduation,Married,"$32,300 ",1,0,1/3/2013,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,Spain
5114,1965,postgraduate,Married,"$74,806 ",0,1,19/12/2012,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,Australia
340,1970,Graduation,Divorced,"$72,967 ",0,1,15/12/2012,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,Germany
8805,1960,Graduation,Single,"$48,904 ",0,1,12/2/2012,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,United States
1241,1984,postgraduate,Married,"$14,796 ",1,0,17/09/2012,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,Germany
1402,1954,postgraduate,Married,"$66,991 ",0,0,9/11/2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,Germany
7264,1978,postgraduate,Single,"$52,195 ",2,1,5/12/2014,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,Saudi Arabia
1619,1956,Graduation,Married,"$90,369 ",0,0,28/04/2014,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,Spain
6398,1974,Basic,Married,"$18,393 ",1,0,29/03/2014,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,Spain
1857,1952,Graduation,Single,"$47,139 ",1,1,3/6/2014,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,Spain
4877,1973,postgraduate,Married,"$38,576 ",0,1,3/4/2014,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,India
3066,1975,PhD,relationship,"$61,905 ",0,1,2/4/2014,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,Saudi Arabia
10286,1962,Graduation,Married,"$83,715 ",0,0,2/3/2014,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,Saudi Arabia
1992,1964,Graduation,Married,"$60,597 ",0,1,1/1/2014,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,Spain
4246,1982,postgraduate,Single,"$6,560 ",0,0,12/12/2013,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,Spain
10623,1961,postgraduate,relationship,"$48,330 ",0,1,15/11/2013,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,Spain
4867,1968,PhD,Single,"$38,236 ",1,1,20/09/2013,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,Spain
3112,1977,postgraduate,Married,"$22,701 ",1,0,9/5/2013,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,Spain
4865,1974,postgraduate,Divorced,"$53,367 ",1,1,31/08/2013,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,Australia
6287,1986,Graduation,relationship,"$34,728 ",1,0,30/07/2013,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,Spain
4405,1956,postgraduate,Married,"$63,915 ",0,2,30/07/2013,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,Australia
5332,1960,postgraduate,Married,"$82,504 ",0,0,27/07/2013,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,India
1519,1972,PhD,Single,"$38,578 ",1,1,22/06/2013,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,Spain
9080,1972,PhD,Single,"$38,578 ",1,1,22/06/2013,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,Spain
1772,1975,PhD,Married,"$79,174 ",0,0,1/11/2013,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,Canada
5341,1962,postgraduate,Divorced,"$81,975 ",0,1,1/5/2013,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,Saudi Arabia
5510,1977,postgraduate,Married,"$43,263 ",0,1,21/11/2012,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,Spain
3887,1970,Graduation,Single,"$27,242 ",1,0,11/11/2012,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,India
7022,1971,Graduation,Married,"$76,445 ",1,0,28/09/2012,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,Saudi Arabia
9999,1965,Graduation,relationship,"$75,276 ",0,0,27/09/2012,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,Spain
10352,1963,Graduation,Widow,"$34,213 ",1,1,9/7/2012,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,Saudi Arabia
7919,1976,PhD,relationship,"$72,335 ",0,0,13/08/2012,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,Spain
4114,1964,postgraduate,Married,"$79,143 ",0,0,8/11/2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,Australia
7990,1947,Graduation,Married,"$27,469 ",0,0,8/2/2012,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,Canada
9888,1969,Graduation,relationship,"$68,695 ",0,0,25/06/2014,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,Spain
4399,1969,Graduation,relationship,"$68,695 ",0,0,25/06/2014,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,Canada
4452,1957,Graduation,Single,"$50,388 ",0,1,28/05/2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,Germany
4785,1970,PhD,relationship,"$77,622 ",0,2,14/04/2014,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,Saudi Arabia
8461,1962,Graduation,Divorced,"$46,102 ",2,1,3/10/2014,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,Spain
3878,1980,postgraduate,Single,"$31,859 ",1,0,27/02/2014,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,Spain
9612,1987,postgraduate,Single,"$23,830 ",0,0,2/7/2014,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,Spain
4098,1973,Graduation,Married,"$24,639 ",1,1,28/01/2014,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,Australia
158,1945,PhD,relationship,"$71,604 ",0,0,17/11/2013,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,Spain
3896,1984,Graduation,Married,"$27,255 ",1,0,11/7/2013,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,Spain
9970,1977,Graduation,relationship,"$55,375 ",0,1,17/10/2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,Canada
4002,1960,PhD,Married,"$77,037 ",0,1,13/10/2013,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,Spain
10914,1970,Graduation,Single,"$24,163 ",1,1,10/12/2013,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,Spain
7279,1969,PhD,relationship,"$69,476 ",0,0,30/09/2013,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,United States
10582,1979,Graduation,Married,"$72,063 ",0,1,7/3/2013,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,Germany
4470,1962,postgraduate,Married,"$58,646 ",0,1,6/10/2013,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,Spain
6183,1962,postgraduate,Married,"$58,646 ",0,1,6/10/2013,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,Germany
6379,1949,postgraduate,Widow,"$47,570 ",1,1,29/05/2013,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,United States
8601,1980,Graduation,Married,"$80,011 ",0,1,29/04/2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,Australia
4827,1956,PhD,Single,"$54,998 ",0,1,3/10/2013,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,Spain
6715,1948,PhD,Single,"$60,200 ",0,1,1/2/2013,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,Spain
10676,1982,Graduation,Married,"$63,211 ",0,0,11/2/2012,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,Spain
1041,1973,PhD,Single,"$48,432 ",0,1,18/10/2012,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,Saudi Arabia
492,1973,PhD,Single,"$48,432 ",0,1,18/10/2012,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,Canada
11133,1973,PhD,Single,"$48,432 ",0,1,18/10/2012,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,India
4491,1949,postgraduate,Married,"$62,845 ",1,1,10/1/2012,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,Spain
873,1949,postgraduate,Married,"$62,845 ",1,1,10/1/2012,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,Spain
1631,1965,PhD,relationship,"$65,220 ",0,0,9/3/2012,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,Germany
8278,1990,PhD,Married,"$74,214 ",0,0,26/08/2012,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,Spain
6815,1980,postgraduate,Married,"$96,547 ",0,0,23/05/2014,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,Spain
254,1955,Graduation,relationship,"$53,863 ",0,1,17/05/2014,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,Spain
1349,1970,Graduation,Married,"$50,447 ",2,0,21/04/2014,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,India
2534,1953,Graduation,Married,"$37,716 ",0,1,21/04/2014,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,Australia
2130,1982,Graduation,relationship,"$45,203 ",2,0,23/03/2014,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,Saudi Arabia
2296,1975,postgraduate,Married,"$37,368 ",1,0,16/12/2013,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,Spain
3799,1955,Graduation,Married,"$67,225 ",0,1,26/11/2013,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,United States
11084,1976,postgraduate,relationship,"$65,104 ",0,1,14/11/2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,Canada
5172,1976,postgraduate,relationship,"$65,104 ",0,1,14/11/2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,Spain
9504,1949,postgraduate,Married,"$81,698 ",0,0,11/6/2013,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,Spain
850,1968,Graduation,Single,"$70,566 ",0,1,10/6/2013,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,Spain
4477,1958,Graduation,relationship,"$69,096 ",0,1,27/09/2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,Germany
1945,1962,Graduation,Married,"$71,434 ",0,1,18/09/2013,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,Spain
7685,1978,Graduation,Married,"$33,039 ",1,0,9/9/2013,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,Spain
6310,1978,Graduation,Married,"$33,039 ",1,0,9/9/2013,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,Canada
10832,1958,Graduation,relationship,"$46,610 ",0,0,18/07/2013,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,Spain
3025,1958,Graduation,Single,"$49,967 ",0,1,7/8/2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,Canada
2404,1976,Graduation,Married,"$53,359 ",1,1,27/05/2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,United States
8581,1971,postgraduate,Married,"$49,505 ",1,1,3/5/2013,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,Spain
8755,1946,postgraduate,Married,"$68,657 ",0,0,20/02/2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,Australia
10177,1954,Graduation,Divorced,"$72,071 ",0,1,14/02/2013,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,Spain
2429,1954,Graduation,Divorced,"$72,071 ",0,1,14/02/2013,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,Canada
8920,1967,postgraduate,Single,"$59,235 ",1,0,1/12/2013,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,India
8430,1957,Graduation,relationship,"$21,994 ",0,1,24/12/2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,Australia
8619,1957,Graduation,relationship,"$21,994 ",0,1,24/12/2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,Spain
7233,1972,Graduation,Married,"$69,209 ",0,0,17/09/2012,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,Canada
6678,1989,Graduation,relationship,"$31,928 ",1,0,28/03/2014,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,India
830,1987,PhD,Single,"$74,004 ",0,0,24/02/2014,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,India
6365,1987,postgraduate,Married,"$30,390 ",0,0,9/2/2013,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,India
6770,1985,Graduation,Married,"$21,355 ",1,0,20/08/2013,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,United States
2261,1969,Graduation,Married,"$26,304 ",1,0,23/06/2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,Germany
1031,1989,postgraduate,Married,"$85,710 ",0,0,5/5/2013,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,India
10089,1974,Graduation,Divorced,"$102,692 ",0,0,4/5/2013,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,Saudi Arabia
9256,1971,Graduation,Single,"$58,350 ",0,1,1/4/2013,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,Spain
10641,1978,Graduation,Single,"$7,500 ",1,1,27/12/2012,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,Spain
624,1984,postgraduate,Single,"$18,890 ",0,0,11/10/2012,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,Saudi Arabia
4211,1986,Basic,Married,"$20,425 ",1,0,29/10/2012,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,Canada
1407,1986,Basic,Married,"$20,425 ",1,0,29/10/2012,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,Germany
10356,1957,PhD,Divorced,"$41,437 ",1,1,22/09/2012,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,Spain
9323,1949,postgraduate,relationship,"$49,912 ",0,1,9/7/2012,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,Montenegro
1146,1949,postgraduate,relationship,"$49,912 ",0,1,9/7/2012,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,Australia
6343,1959,Graduation,Married,"$79,823 ",0,1,31/03/2014,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,Australia
8545,1954,Graduation,Divorced,"$85,683 ",0,0,21/03/2014,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,Spain
8275,1965,PhD,Divorced,"$47,025 ",1,1,2/9/2014,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,Spain
10673,1976,PhD,Married,"$68,397 ",0,1,17/11/2013,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,Saudi Arabia
8799,1984,PhD,Married,"$38,175 ",1,0,23/09/2013,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,Spain
67,1972,postgraduate,Single,"$46,423 ",1,1,18/09/2013,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,Spain
9923,1972,postgraduate,Single,"$46,423 ",1,1,18/09/2013,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,Spain
2814,1976,postgraduate,relationship,"$30,560 ",1,0,27/06/2013,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,Saudi Arabia
2711,1976,postgraduate,relationship,"$30,560 ",1,0,27/06/2013,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,Canada
4320,1979,Graduation,Single,"$60,152 ",0,1,28/03/2013,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,Spain
10451,1965,Graduation,relationship,"$29,672 ",1,1,3/12/2013,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,Saudi Arabia
4198,1965,Graduation,relationship,"$29,672 ",1,1,3/12/2013,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,Spain
10814,1947,Graduation,relationship,"$70,321 ",0,0,16/01/2013,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,Spain
944,1962,Graduation,Married,"$56,181 ",0,1,1/8/2013,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,Spain
8151,1990,Basic,Married,"$24,279 ",0,0,29/12/2012,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,Spain
6184,1969,PhD,Married,"$68,462 ",0,0,12/12/2012,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,Spain
3498,1976,PhD,Married,"$55,424 ",0,1,25/11/2012,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,0,Spain
2870,1973,Graduation,Married,"$49,094 ",0,1,21/09/2012,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,Spain
7342,1961,postgraduate,Widow,"$59,184 ",0,1,9/9/2012,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,Spain
1911,1987,Graduation,relationship,"$67,430 ",0,0,9/5/2012,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,Germany
10862,1960,postgraduate,Married,"$30,522 ",0,1,17/08/2012,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,Spain
2546,1977,postgraduate,Single,"$31,878 ",0,1,22/06/2014,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,Spain
3005,1992,Graduation,Single,"$83,528 ",0,0,5/1/2014,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,Spain
8318,1979,Graduation,relationship,"$90,300 ",0,0,1/3/2014,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,Spain
2930,1978,postgraduate,Single,"$68,092 ",0,0,16/12/2013,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,Saudi Arabia
8216,1972,postgraduate,Married,"$53,761 ",1,1,10/11/2013,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0,Australia
1212,1973,Graduation,Married,"$52,845 ",1,0,13/08/2013,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0,Spain
